"NombreCat","CodTip","Cantidad","Total"
"ARTICULOS DE LIMPIEZA DE BAÑOS                    ",201605,3,292.369999
"DETERGENTES                                       ",201605,148,6428.249998
"LEJIAS                                            ",201605,10,364.45
"WHISKY                                            ",201605,60,1794
"INSECTICIDAS                                      ",201605,102,3204.980001
"REHIDRATANTES                                     ",201605,16,15.0096
"TALCOS                                            ",201605,1,141.24
"YOGURT                                            ",201605,111,2188.236796
"BEBIDAS GASEOSAS                                  ",201605,82,2094.308599
"GOLOSINAS - CHOCOLATES                            ",201605,91,917.606148
"COMIDAS INSTANTANEAS                              ",201605,21,397.83
"PANES Y KEKES                                     ",201605,121,237.865401
"ARTICULOS DE LIMPIEZA                             ",201605,10,1235.18
"REFRESCOS                                         ",201605,12,730.739999
"GOLOSINAS - GALLETAS                              ",201605,71,498.592801
"AVENAS                                            ",201605,28,548.0794
"TOALLAS HIGIENICAS                                ",201605,6,183.11
"GOLOSINAS - CARAMELOS                             ",201605,22,441.5096
"CEPILLOS                                          ",201605,6,870.0258
"DESODORANTES                                      ",201605,17,2095.314801
"EMBUTIDOS                                         ",201605,73,386.573001
"MANTEQUILLAS Y MARGARINAS                         ",201605,12,193.1424
"POSTRES VARIOS                                    ",201605,4,223.233
"JUGOS                                             ",201605,188,2279.230802
"CAFE                                              ",201605,75,1749.922399
"OTROS",201605,12,2337.78
"PAPEL HIGIENICO                                   ",201605,150,3985.3792
"CONDIMENTOS Y VINAGRES                            ",201605,3,131.66
"RON                                               ",201605,20,3721.57
"HARINAS INDUSTRIALES                              ",201605,590,42778.75
"HUEVOS                                            ",201605,60,358.2
"JABON DE LAVAR                                    ",201605,50,3533.82
"ARTICULOS DE BELLEZA                              ",201605,15,2344.4
"GUANTES                                           ",201605,72,494.3492
"SHAMPOO Y CUIDADO PARA EL CABELLO                 ",201605,12,2921.3378
"JABON DE TOCADOR                                  ",201605,100,119.380001
"AGUA MINERAL                                      ",201605,6,95.94
